id,title,description,audioUrl,youtubeId,date
#recent-alleluia-20251124,20251124 Alleluia (E. Hagenberg),練習の様子,https://youtu.be/y26-rP_t0U8,y26-rP_t0U8,2025-12-01
#recent-alleluia-20251214,20251214 Alleluia (E. Hagenberg),練習の様子,https://youtu.be/KQuiP4Ixw2w,KQuiP4Ixw2w,2025-12-14
#recent-ifye-20251013,20251013 If ye love me (T. Tallis),練習の様子,https://www.youtube.com/watch?v=Uy2r3qNr0XY,Uy2r3qNr0XY,2025-12-01
#recent-shupuru-20251214,20251214 シュプール (木下牧子),練習の様子,https://youtube.com/shorts/n2vPZtrvLgw,n2vPZtrvLgw,2025-12-14
#recent-alleluia-20260118,20260118 Alleluia (E. Hagenberg),練習の様子,https://www.youtube.com/watch?v=Weq_jyW2QBY,Weq_jyW2QBY,2026-01-18
#recent-alleluia-20260118,20260118 たそがれ (木下牧子),練習の様子,https://www.youtube.com/watch?v=416AoP9EUVA,416AoP9EUVA,2026-01-18
#recent-alleluia-20260118,20260118 シュプール (木下牧子),練習の様子,https://www.youtube.com/watch?v=D6BEfpBJJQk,D6BEfpBJJQk,2026-01-18
#haru-alleluia,Alleluia (E. Hagenberg),本番の様子,https://www.youtube.com/watch?v=ggh4T2MEsSE,ggh4T2MEsSE,2026-03-01
#haru-tasogare,たそがれ (木下牧子),本番の様子,https://www.youtube.com/watch?v=0NWxyW2dzQs,0NWxyW2dzQs,2026-03-01
#haru-shupu,シュプール (木下牧子),本番の様子,https://www.youtube.com/watch?v=JqoD_4wcyRw,JqoD_4wcyRw,2026-03-01
#yu-alleluia,Alleluia,練習の様子,https://www.youtube.com/watch?v=2r1o9SMZzWk,2r1o9SMZzWk,2026-06-14
#yu-blue,The Blue Ridge,練習の様子,https://www.youtube.com/watch?v=j846habGLHw,j846habGLHw,2026-06-14
yu-wexford,Wexford Carol,練習の様子,https://www.youtube.com/watch?v=vr-2uORvoX4,vr-2uORvoX4,2026-06-14
#yu-olove,O Love,練習の様子,https://www.youtube.com/watch?v=TPckhfbk0bk,TPckhfbk0bk,2026-06-14
"20260802_O nata lux","20260802_O nata lux","2026年8月2日の練習","https://youtu.be/FPfbaP_3aoo","FPfbaP_3aoo","2026-08-02"
"20260802_Puer Nobis","20260802_Puer Nobis","2026年8月2日の練習","https://youtu.be/X1ON-41N4T0","X1ON-41N4T0","2026-08-02"
