ID,title,composer,lyricist
EHA,Alleluia,Elaine Hagenberg,A. Augustinus
KMT,たそがれ,木下牧子,今成敏夫
KMS,シュプール,木下牧子,今成敏夫
KMA,あお,木下牧子,谷川俊太郎
OGA,Ave Generosa,Ola Gjeilo,Hildegard von Bingen
OGT,The Rose,Ola Gjeilo,Christina Rossetti
OGE,Ecce Novum,Ola Gjeilo,Annonymous
JMO,O Radiant Dawn,James Macmillan,Antiphon for 21 December(12月21日のための交唱)
WAS,Sommarpsalm,Waldemar Åhlén,Carl David af Wirsén
PMJ,Jnjen čeua jti gna',Pavle Merkù (arr.),folksong from S. Giorgio in Resia Vally (Italy)
TTI,If ye love me,Thomas Tallis,John (ヨハネによる福音書) 14: 15-17
BPO,O nata lux,Ben Parry,Office hymn for the Feast of the Transfiguration (変容の祝日のための賛歌)
BPT,The Oak and the Ash,Ben Parry (arr.),Traditional English
